gid,lon,lat
¤ì‚¬6339,127.0873118000,37.4539736400
¤ì‚¬4048,126.8265469000,37.5338969700
¤ì‚¬5039,126.9403325000,37.4533689800
¤ì‚¬6149,127.0641758000,37.5440265800
¤ì‚¬4838,126.9177906000,37.4442464600
¤ì‚¬6843,127.1436722000,37.4902116600
¤ì‚¬4352,126.8601924000,37.5701378200
¤ì‚¬4543,126.8835073000,37.4891405100
¤ì‚¬4648,126.8944545000,37.5342647100
¤ì‚¬5143,126.9513750000,37.4894751700
¤ì‚¬6245,127.0756998000,37.5080143000
¤ì‚¬4044,126.8268708000,37.4978449000
¤ì‚¬5663,127.0067444000,37.6699884800
¤ì‚¬4450,126.8716672000,37.5521725900
¤ì‚¬3852,126.8035760000,37.5698174000
¤ì‚¬6555,127.1091727000,37.5982651000
¤ì‚¬6151,127.0640708000,37.5620532300
¤ì‚¬5655,127.0072208000,37.5978834600
¤ì‚¬5861,127.0295359000,37.6520549100
¤ì‚¬5554,126.9959538000,37.5888224500
¤ì‚¬4749,126.9057010000,37.5433353300
¤ì‚¬5060,126.9389155000,37.6426453600
¤ì‚¬6137,127.0648037000,37.4358655300
¤ì‚¬5343,126.9739978000,37.4895780600
¤ì‚¬5057,126.9391188000,37.6156062600
¤ì‚¬5152,126.9507805000,37.5705940200
¤ì‚¬6260,127.0749320000,37.6432138400
¤ì‚¬6257,127.0750860000,37.6161741800
¤ì‚¬6749,127.1320950000,37.5442577300
¤ì‚¬6045,127.0530711000,37.5079308500
¤ì‚¬6545,127.1096431000,37.5081313500
¤ì‚¬6746,127.1322278000,37.5172174300
¤ì‚¬5551,126.9961360000,37.5617828400
¤ì‚¬4143,126.8382628000,37.4888957400
¤ì‚¬4843,126.9174410000,37.4893127100
¤ì‚¬5456,126.9845030000,37.6067998400
¤ì‚¬6038,127.0534467000,37.4448368500
¤ì‚¬6252,127.0753422000,37.5711078100
¤ì‚¬5244,126.9626218000,37.4985404400
¤ì‚¬5852,127.0300466000,37.5709361800
¤ì‚¬6258,127.0750347000,37.6251874200
¤ì‚¬5059,126.9389833000,37.6336323400
¤ì‚¬4545,126.8833590000,37.5071668000
¤ì‚¬6051,127.0527482000,37.5620108800
¤ì‚¬6060,127.0522623000,37.6431299900
¤ì‚¬5154,126.9506481000,37.5886202800
¤ì‚¬6249,127.0754956000,37.5440678200
¤ì‚¬3942,126.8157229000,37.4797538200
¤ì‚¬5245,126.9625572000,37.5075537000
¤ì‚¬5942,127.0419220000,37.4808473400
¤ì‚¬5644,127.0078731000,37.4987376200
¤ì‚¬5252,126.9621042000,37.5706461600
¤ì‚¬4246,126.8493392000,37.5159978000
¤ì‚¬4956,126.9278574000,37.6065388100
¤ì‚¬5762,127.0181415000,37.6610222600
¤ì‚¬4961,126.9275118000,37.6516039000
¤ì‚¬5353,126.9733644000,37.5797103800
¤ì‚¬5956,127.0411492000,37.6070336800
¤ì‚¬5144,126.9513091000,37.4984884300
¤ì‚¬4245,126.8494175000,37.5069847300
¤ì‚¬6949,127.1547349000,37.5443260900
¤ì‚¬3954,126.8147340000,37.5879094500
¤ì‚¬4760,126.9049120000,37.6424787500
¤ì‚¬6643,127.1210487000,37.4901412600
¤ì‚¬4350,126.8603466000,37.5521118000
¤ì‚¬4754,126.9053429000,37.5884007300
¤ì‚¬4047,126.8266280000,37.5248839800
¤ì‚¬5441,126.9854329000,37.4716012200
¤ì‚¬6043,127.0531785000,37.4899040600
¤ì‚¬4144,126.8381832000,37.4979088200
¤ì‚¬4351,126.8602695000,37.5611248200
¤ì‚¬6158,127.0637026000,37.6251460600
¤ì‚¬6346,127.0869646000,37.5170678100
¤ì‚¬6454,127.0978931000,37.5892137500
¤ì‚¬5558,126.9957104000,37.6248750600
¤ì‚¬5865,127.0293083000,37.6881073200
¤ì‚¬4652,126.8941627000,37.5703170400
¤ì‚¬5742,127.0193015000,37.4807574700
¤ì‚¬5639,127.0081685000,37.4536707700
¤ì‚¬5457,126.9844407000,37.6158129700
¤ì‚¬6259,127.0749834000,37.6342006400
¤ì‚¬4744,126.9060583000,37.4982695900
¤ì‚¬6442,127.0984734000,37.4810530600
¤ì‚¬6340,127.0872622000,37.4629871300
¤ì‚¬5540,126.9968021000,37.4626365600
¤ì‚¬5447,126.9850617000,37.5256810400
¤ì‚¬5944,127.0418119000,37.4988741300
¤ì‚¬5966,127.0405943000,37.6971651200
¤ì‚¬4854,126.9166691000,37.5884572500
¤ì‚¬4553,126.8827649000,37.5792714200
¤ì‚¬6646,127.1209120000,37.5171816500
¤ì‚¬5962,127.0408166000,37.6611127100
¤ì‚¬5162,126.9501172000,37.6607247600
¤ì‚¬6449,127.0981353000,37.5441470400
¤ì‚¬5356,126.9731738000,37.6067498100
¤ì‚¬5051,126.9395244000,37.5615276700
¤ì‚¬4346,126.8606544000,37.5160595900
¤ì‚¬4738,126.9064861000,37.4441902300
¤ì‚¬5451,126.9848136000,37.5617339800
¤ì‚¬6063,127.0520999000,37.6701694400
¤ì‚¬6044,127.0531248000,37.4989174600
¤ì‚¬6263,127.0747778000,37.6702533800
¤ì‚¬3950,126.8150642000,37.5518578000
¤ì‚¬6362,127.0861669000,37.6612805300
¤ì‚¬4757,126.9051276000,37.6154398000
¤ì‚¬4443,126.8721961000,37.4890809400
¤ì‚¬6145,127.0643855000,37.5079731200
¤ì‚¬4544,126.8834332000,37.4981536600
¤ì‚¬6444,127.0983769000,37.4990799800
¤ì‚¬6165,127.0633332000,37.6882382100
¤ì‚¬4859,126.9163170000,37.6335223900
¤ì‚¬4649,126.8943816000,37.5432778200
¤ì‚¬6743,127.1323604000,37.4901770000
¤ì‚¬5958,127.0410384000,37.6250600800
¤ì‚¬4753,126.9054146000,37.5793876800
¤ì‚¬5641,127.0080504000,37.4716975500
¤ì‚¬5054,126.9393217000,37.5885670200
¤ì‚¬6239,127.0760055000,37.4539336100
¤ì‚¬4641,126.8949638000,37.4711726100
¤ì‚¬4447,126.8718941000,37.5251333900
¤ì‚¬5555,126.9958930000,37.5978356200
¤ì‚¬5149,126.9509789000,37.5435545300
¤ì‚¬5157,126.9504492000,37.6156595700
¤ì‚¬5650,127.0075177000,37.5528173800
¤ì‚¬5658,127.0070424000,37.6249229500
¤ì‚¬5561,126.9955276000,37.6519143800
¤ì‚¬5042,126.9401309000,37.4804088400
¤ì‚¬5541,126.9967417000,37.4716499200
¤ì‚¬5556,126.9958322000,37.6068487800
¤ì‚¬5857,127.0297632000,37.6160022800
¤ì‚¬6747,127.1321836000,37.5262308700
¤ì‚¬6058,127.0523705000,37.6251036100
¤ì‚¬4651,126.8942357000,37.5613039800
¤ì‚¬4639,126.8951091000,37.4531461700
¤ì‚¬5862,127.0294790000,37.6610680300
¤ì‚¬4944,126.9286836000,37.4983811700
¤ì‚¬5654,127.0072803000,37.5888702800
¤ì‚¬5543,126.9966207000,37.4896766200
¤ì‚¬6351,127.0867159000,37.5621346700
¤ì‚¬6358,127.0863668000,37.6252276900
¤ì‚¬4145,126.8381037000,37.5069218800
¤ì‚¬5053,126.9393893000,37.5795539200
¤ì‚¬5941,127.0419770000,37.4718339300
¤ì‚¬6246,127.0756488000,37.5170277000
¤ì‚¬6455,127.0978446000,37.5982270500
¤ì‚¬5960,127.0409275000,37.6430864200
¤ì‚¬7044,127.1662557000,37.4992912500
¤ì‚¬6445,127.0983286000,37.5080934200
¤ì‚¬5757,127.0184325000,37.6159565900
¤ì‚¬6849,127.1434150000,37.5442924500
¤ì‚¬3951,126.8149817000,37.5608707300
¤ì‚¬4748,126.9057725000,37.5343222100
¤ì‚¬5940,127.0420320000,37.4628205000
¤ì‚¬6164,127.0633861000,37.6792250900
¤ì‚¬5740,127.0194170000,37.4627306900
¤ì‚¬5643,127.0079322000,37.4897242700
¤ì‚¬5649,127.0075770000,37.5438041200
¤ì‚¬6240,127.0759546000,37.4629471000
¤ì‚¬6037,127.0535002000,37.4358233700
¤ì‚¬6236,127.0761581000,37.4268930800
¤ì‚¬6142,127.0645425000,37.4809328800
¤ì‚¬5642,127.0079914000,37.4807109200
¤ì‚¬5939,127.0420869000,37.4538070600
¤ì‚¬4958,126.9277193000,37.6245648900
¤ì‚¬4950,126.9282711000,37.5524602400
¤ì‚¬5843,127.0305553000,37.4898163300
¤ì‚¬5351,126.9734913000,37.5616840300
¤ì‚¬6054,127.0525865000,37.5890507100
¤ì‚¬6560,127.1089367000,37.6433314600
¤ì‚¬5055,126.9392541000,37.5975801200
¤ì‚¬5964,127.0407055000,37.6791389400
¤ì‚¬6040,127.0533395000,37.4628637800
¤ì‚¬5046,126.9398617000,37.5164617900
¤ì‚¬3953,126.8148166000,37.5788965600
¤ì‚¬5847,127.0303295000,37.5258697400
¤ì‚¬6642,127.1210942000,37.4811277700
¤ì‚¬4741,126.9062724000,37.4712299700
¤ì‚¬6141,127.0645948000,37.4719194300
¤ì‚¬4049,126.8264659000,37.5429099600
¤ì‚¬6253,127.0752910000,37.5801211100
¤ì‚¬6160,127.0635972000,37.6431724600
¤ì‚¬3944,126.8155585000,37.4977799000
¤ì‚¬5764,127.0180250000,37.6790484400
¤ì‚¬4343,126.8608849000,37.4890202900
¤ì‚¬4844,126.9173710000,37.4983259200
¤ì‚¬6364,127.0860667000,37.6793068700
¤ì‚¬5760,127.0182580000,37.6429960300
¤ì‚¬4952,126.9281333000,37.5704864900
¤ì‚¬5354,126.9733009000,37.5887235400
¤ì‚¬5160,126.9502501000,37.6426987300
¤ì‚¬4960,126.9275810000,37.6425909100
¤ì‚¬4251,126.8489475000,37.5610629200
¤ì‚¬6061,127.0522082000,37.6521431500
¤ì‚¬5246,126.9624926000,37.5165669500
¤ì‚¬6048,127.0529098000,37.5349709300
¤ì‚¬3853,126.8034920000,37.5788302800
¤ì‚¬5453,126.9846894000,37.5797603700
¤ì‚¬5242,126.9627509000,37.4805138600
¤ì‚¬5241,126.9628155000,37.4715005600
¤ì‚¬6354,127.0865664000,37.5891746200
¤ì‚¬6361,127.0862169000,37.6522673400
¤ì‚¬4849,126.9170204000,37.5433917600
¤ì‚¬5945,127.0417568000,37.5078875000
¤ì‚¬6748,127.1321393000,37.5352443100
¤ì‚¬4347,126.8605775000,37.5250726700
¤ì‚¬6244,127.0757508000,37.4990008900
¤ì‚¬4043,126.8269517000,37.4888318500
¤ì‚¬4149,126.8377851000,37.5429739800
¤ì‚¬5350,126.9735547000,37.5526708300
¤ì‚¬5041,126.9401981000,37.4713955700
¤ì‚¬5855,127.0298766000,37.5979758800
¤ì‚¬5349,126.9736181000,37.5436576200
¤ì‚¬5952,127.0413705000,37.5709807200
¤ì‚¬4554,126.8826904000,37.5882844300
¤ì‚¬6056,127.0524785000,37.6070771900
¤ì‚¬4150,126.8377053000,37.5519869700
¤ì‚¬6847,127.1435008000,37.5262655800
¤ì‚¬6042,127.0532322000,37.4808906500
¤ì‚¬4858,126.9163875000,37.6245093900
¤ì‚¬6357,127.0864167000,37.6162144400
¤ì‚¬5050,126.9395919000,37.5525145200
¤ì‚¬6844,127.1436294000,37.4992251600
¤ì‚¬5440,126.9854947000,37.4625878600
¤ì‚¬5645,127.0078139000,37.5077509400
¤ì‚¬6952,127.1546101000,37.5713663400
¤ì‚¬6355,127.0865165000,37.5981879100
¤ì‚¬6049,127.0528560000,37.5439842600
¤ì‚¬5553,126.9960145000,37.5798092600
¤ì‚¬4050,126.8263848000,37.5519229300
¤ì‚¬5257,126.9617797000,37.6157117900
¤ì‚¬6645,127.1209575000,37.5081682000
¤ì‚¬5864,127.0293652000,37.6790942300
¤ì‚¬5052,126.9394569000,37.5705408000
¤ì‚¬4539,126.8838033000,37.4530877600
¤ì‚¬5953,127.0413152000,37.5799939800
¤ì‚¬6248,127.0755467000,37.5350544600
¤ì‚¬5345,126.9738713000,37.5076046400
¤ì‚¬5844,127.0304989000,37.4988297100
¤ì‚¬5840,127.0307245000,37.4627761400
¤ì‚¬6649,127.1207751000,37.5442219200
¤ì‚¬6062,127.0521541000,37.6611563000
¤ì‚¬6554,127.1092198000,37.5892517900
¤ì‚¬4743,126.9061297000,37.4892563900
¤ì‚¬6064,127.0520458000,37.6791825600
¤ì‚¬5145,126.9512431000,37.5075016800
¤ì‚¬4348,126.8605006000,37.5340857200
¤ì‚¬4042,126.8270326000,37.4798187800
¤ì‚¬5951,127.0414257000,37.5619674400
¤ì‚¬5739,127.0194746000,37.4537172800
¤ì‚¬5557,126.9957713000,37.6158619300
¤ì‚¬6540,127.1098775000,37.4630639600
¤ì‚¬4953,126.9280644000,37.5794995900
¤ì‚¬4638,126.8951816000,37.4441329200
¤ì‚¬4445,126.8720452000,37.5071072000
¤ì‚¬6150,127.0641233000,37.5530399100
¤ì‚¬6943,127.1549840000,37.4902452400
¤ì‚¬4349,126.8604236000,37.5430987700
¤ì‚¬3943,126.8156407000,37.4887668700
¤ì‚¬6139,127.0646993000,37.4538925100
¤ì‚¬4842,126.9175110000,37.4802994900
¤ì‚¬6845,127.1435865000,37.5082386500
¤ì‚¬5752,127.0187228000,37.5708905600
¤ì‚¬6344,127.0870639000,37.4990409800
¤ì‚¬5546,126.9964392000,37.5167165600
¤ì‚¬5243,126.9626864000,37.4895271600
¤ì‚¬5249,126.9622985000,37.5436066200
¤ì‚¬4739,126.9064149000,37.4532034900
¤ì‚¬4855,126.9165988000,37.5974703000
¤ì‚¬5256,126.9618446000,37.6066986900
¤ì‚¬4046,126.8267090000,37.5158709600
¤ì‚¬6741,127.1324487000,37.4721499800
¤ì‚¬4540,126.8837293000,37.4621009700
¤ì‚¬5446,126.9851236000,37.5166677700
¤ì‚¬5859,127.0296496000,37.6340286200
¤ì‚¬6559,127.1089839000,37.6343182200
¤ì‚¬4653,126.8940897000,37.5793300900
¤ì‚¬6951,127.1546518000,37.5623529400
¤ì‚¬5141,126.9515068000,37.4714486100
¤ì‚¬5657,127.0071019000,37.6159098000
¤ì‚¬6342,127.0871631000,37.4810140800
¤ì‚¬4244,126.8494957000,37.4979716500
¤ì‚¬6842,127.1437150000,37.4811981500
¤ì‚¬4642,126.8948912000,37.4801858100
¤ì‚¬4548,126.8831365000,37.5342061400
¤ì‚¬5845,127.0304425000,37.5078430700
¤ì‚¬6356,127.0864667000,37.6072011800
¤ì‚¬5545,126.9964997000,37.5077032600
¤ì‚¬4250,126.8490259000,37.5520499300
¤ì‚¬6041,127.0532859000,37.4718772200
¤ì‚¬6155,127.0638605000,37.5981063600
¤ì‚¬5445,126.9851855000,37.5076544900
¤ì‚¬6055,127.0525325000,37.5980639500
¤ì‚¬5850,127.0301599000,37.5529096500
¤ì‚¬4941,126.9288895000,37.4713414500
¤ì‚¬5744,127.0191860000,37.4987842000
¤ì‚¬5741,127.0193593000,37.4717440900
¤ì‚¬5155,126.9505818000,37.5976333900
¤ì‚¬4148,126.8378648000,37.5339609800
¤ì‚¬4747,126.9058440000,37.5253090700
¤ì‚¬6154,127.0639131000,37.5890931000
¤ì‚¬5851,127.0301033000,37.5619229200
¤ì‚¬5444,126.9852474000,37.4986411900
¤ì‚¬5061,126.9388477000,37.6516583700
¤ì‚¬5542,126.9966812000,37.4806632800
¤ì‚¬6143,127.0644902000,37.4899463000
¤ì‚¬5758,127.0183744000,37.6249697500
¤ì‚¬4947,126.9284775000,37.5254207700
¤ì‚¬4850,126.9169502000,37.5524048800
¤ì‚¬4249,126.8491043000,37.5430369200
¤ì‚¬6360,127.0862669000,37.6432541400
¤ì‚¬7150,127.1773361000,37.5534035700
¤ì‚¬5255,126.9619096000,37.5976855800
¤ì‚¬4948,126.9284087000,37.5344339400
¤ì‚¬5860,127.0295928000,37.6430417700
¤ì‚¬5049,126.9396594000,37.5435013600
¤ì‚¬3650,126.7811029000,37.5516559000
¤ì‚¬6546,127.1095961000,37.5171447900
¤ì‚¬6338,127.0873613000,37.4449601300
¤ì‚¬6047,127.0529636000,37.5259575800
¤ì‚¬4755,126.9052711000,37.5974137700
¤ì‚¬4742,126.9062011000,37.4802431900
¤ì‚¬5749,127.0188967000,37.5438507800
¤ì‚¬5253,126.9620393000,37.5796593200
¤ì‚¬6557,127.1090783000,37.6162916900
¤ì‚¬7053,127.1658939000,37.5804123200
¤ì‚¬6159,127.0636499000,37.6341592700
¤ì‚¬6450,127.0980869000,37.5531604100
¤ì‚¬4152,126.8375457000,37.5700129100
¤ì‚¬5058,126.9390510000,37.6246193100
¤ì‚¬5750,127.0188388000,37.5528640600
¤ì‚¬5455,126.9845651000,37.5977867000
¤ì‚¬4857,126.9164580000,37.6154963700
¤ì‚¬6256,127.0751373000,37.6071609400
¤ì‚¬4550,126.8829879000,37.5522322900
¤ì‚¬6153,127.0639657000,37.5800798200
¤ì‚¬5949,127.0415362000,37.5439408500
¤ì‚¬4542,126.8835813000,37.4801273400
