,index,gid,구이름,lon,lat,심야약국,전체약국,응급실,상비의약품,경찰서,고위험군,총인구,구가중치,sum,순위
90,780,ㅼ궗6159,노원구,127.0636499,37.63415927,-0.0,11,0.0,0.2063492063492063,0.25,1.6675114733885883,1.6668136325558838,1.0,4.790674312293678,79
91,627,ㅼ궗5852,성동구,127.0300466,37.57093618,-0.0,16,0.5,0.2698412698412698,0.25,1.0776080553462566,0.6886821568713901,2.0,4.7861314820589165,80
93,333,ㅼ궗5143,동작구,126.951375,37.48947517,-0.0,18,0.5,0.2539682539682539,0.0,1.811219946571683,0.1870728803844627,2.0,4.7522610809244,81
95,669,ㅼ궗5951,성동구,127.0414257,37.56196744,-0.0,19,0.5,0.3968253968253968,0.25,0.6760737036783341,0.8944050085975045,2.0,4.717304109101235,82
96,193,ㅼ궗4742,구로구,126.9062011,37.48024319,-0.0,16,0.5,0.4126984126984127,0.0,1.203370093842044,0.5839689608041974,2.0,4.700037467344654,83
99,973,ㅼ궗6844,송파구,127.1436294,37.49922516,-0.0,15,0.0,0.2857142857142857,0.25,1.0604835947667648,1.1024205281954058,2.0,4.698618408676456,84
100,815,ㅼ궗6254,중랑구,127.0752398,37.5891344,-0.0,13,0.0,0.4444444444444444,0.25,0.9717103911226797,1.0255279749570123,2.0,4.691682810524137,85
102,234,ㅼ궗4844,동작구,126.917371,37.49832592,-0.0,12,0.0,0.2539682539682539,0.5,1.213096787451195,0.7234248930823156,2.0,4.690489934501764,86
104,565,ㅼ궗5744,서초구,127.019186,37.4987842,-0.0,13,0.0,0.4761904761904761,0.0,1.6477840948010136,1.556148317975398,1.0,4.680122888966888,87
105,56,ㅼ궗4144,구로구,126.8381832,37.49790882,-0.0,4,0.0,0.3492063492063492,0.5,0.9115692855675046,0.9168907896477227,2.0,4.677666424421576,88
106,164,ㅼ궗4643,영등포구,126.8948185,37.48919899,-0.0,26,0.0,0.4126984126984127,0.75,1.2313172135077746,0.274150169745602,2.0,4.668165795951789,89
108,449,ㅼ궗5443,동작구,126.9853093,37.48962788,-0.0,26,0.0,0.4126984126984127,0.25,1.0197958764298924,0.9481063445174376,2.0,4.630600633645742,90
109,817,ㅼ궗6255,중랑구,127.0751885,37.59814768,-0.0,17,0.0,0.3333333333333333,0.25,1.0574696897047742,0.9860235439354526,2.0,4.62682656697356,91
111,626,ㅼ궗5851,성동구,127.0301033,37.56192292,-0.0,22,0.5,0.5238095238095237,0.0,1.485444208507432,0.1108416736475464,2.0,4.620095405964502,92
113,138,ㅼ궗4547,양천구,126.8832107,37.52519304,-0.0,4,0.0,0.2857142857142857,0.0,0.6612781697376532,0.6713107887659274,3.0,4.618303244217866,93
115,880,ㅼ궗6446,송파구,127.0982803,37.51710684,-0.0,21,0.0,0.1269841269841269,0.25,1.186793616001096,1.0328468762400247,2.0,4.596624619225247,95
116,825,ㅼ궗6258,노원구,127.0750347,37.62518742,-0.0,23,0.0,0.5873015873015872,0.25,1.3141996027125145,1.440765398351043,1.0,4.592266588365145,96
117,878,ㅼ궗6444,송파구,127.0983769,37.49907998,-0.0,2,0.0,0.238095238095238,0.25,0.9721213781765874,1.1273753361844716,2.0,4.587591952456297,97
118,576,ㅼ궗5750,중구,127.0188388,37.55286406,-0.0,17,0.0,0.2222222222222222,0.25,1.707788204671553,0.3904148847052599,2.0,4.570425311599035,98
120,912,ㅼ궗6546,송파구,127.1095961,37.51714479,-0.0,13,0.0,0.4444444444444444,0.0,1.0029454072196726,1.094572549711212,2.0,4.541962401375329,99
121,957,ㅼ궗6742,송파구,127.1324046,37.4811635,-0.0,9,0.0,0.0317460317460317,0.5,1.0451400780875402,0.9638463912525904,2.0,4.540732501086162,100
122,237,ㅼ궗4846,영등포구,126.9172309,37.5163523,-0.0,13,0.5,0.238095238095238,0.25,0.6874443455031166,0.8611613244565937,2.0,4.536700908054948,101
123,771,ㅼ궗6154,동대문구,127.0639131,37.5890931,-0.0,11,0.5,0.1269841269841269,0.0,0.8923898897184739,1.0124333142277675,2.0,4.531807330930368,102
124,959,ㅼ궗6744,송파구,127.1323162,37.49919049,-0.0,16,0.0,0.2222222222222222,0.0,1.1272004931844646,1.1518010669723555,2.0,4.501223782379043,103
125,46,ㅼ궗4049,양천구,126.8264659,37.54290996,-0.0,2,0.0,0.238095238095238,0.25,0.6277142270018494,0.3628587804770513,3.0,4.478668245574139,104
126,139,ㅼ궗4548,양천구,126.8831365,37.53420614,-0.0,10,0.5,0.0793650793650793,0.25,0.6400438386190834,0.0,3.0,4.469408917984163,105
127,166,ㅼ궗4644,구로구,126.8947457,37.49821217,-0.0,13,0.5,0.365079365079365,0.25,0.8536201109665045,0.4998015960495569,2.0,4.468501072095426,106
130,770,ㅼ궗6153,동대문구,127.0639657,37.58007982,-0.0,13,0.0,0.2063492063492063,0.25,1.0399342420713746,0.968387637229399,2.0,4.4646710856499805,108
131,33,ㅼ궗3953,강서구,126.8148166,37.57889656,-0.0,7,0.0,0.1746031746031746,0.25,1.0651414480443866,0.9734138706406243,2.0,4.463158493288185,109
132,995,ㅼ궗7050,강동구,127.1660147,37.55337209,-0.0,10,0.0,0.1111111111111111,0.25,1.6944996232618672,1.4018341342974296,1.0,4.457444868670407,110
133,132,ㅼ궗4544,구로구,126.8834332,37.49815366,-0.0,14,0.0,0.3492063492063492,0.25,0.9238988971847386,0.9158326352453596,2.0,4.438937881636447,111
134,76,ㅼ궗4245,양천구,126.8494175,37.50698473,-0.0,10,0.0,0.1904761904761904,0.0,1.0339064319473936,0.2110136237379304,3.0,4.435396246161515,112
135,593,ㅼ궗5758,강북구,127.0183744,37.62496975,-0.0,7,0.0,0.3492063492063492,0.25,1.45653811904925,1.377672942110136,1.0,4.433417410365735,113
136,586,ㅼ궗5753,종로구,127.0186648,37.57990379,-0.0,12,0.0,0.3968253968253968,0.25,1.2210425371600797,0.5613950002204489,2.0,4.429262934205925,114
138,958,ㅼ궗6743,송파구,127.1323604,37.490177,-0.0,11,0.0,0.1111111111111111,0.0,1.1452839235564078,1.1718619108504915,2.0,4.428256945518011,115
139,829,ㅼ궗6262,노원구,127.0748292,37.66124021,-0.0,21,0.0,0.2698412698412698,0.0,1.6027125145557914,1.55187161059918,1.0,4.424425394996241,116
140,945,ㅼ궗6648,송파구,127.1208207,37.53520851,-0.0,22,0.0,0.4603174603174603,0.0,1.238440989108843,0.7231603544817248,2.0,4.421918803908028,117
141,960,ㅼ궗6745,송파구,127.132272,37.50820397,-0.0,9,0.0,0.1428571428571428,0.25,1.0362353585862043,0.983863145363961,2.0,4.412955646807308,118
142,819,ㅼ궗6256,동대문구,127.0751373,37.60716094,-0.0,8,0.0,0.3015873015873015,0.0,1.0774710596616206,1.019443587143424,2.0,4.398501948392346,119
144,47,ㅼ궗4050,양천구,126.8263848,37.55192293,-0.0,6,0.0,0.1746031746031746,0.25,0.968696486060689,0.0,3.0,4.393299660663864,120
146,582,ㅼ궗5752,동대문구,127.0187228,37.57089056,-0.0,17,0.0,0.6031746031746031,0.25,0.9776012055620248,0.545963581852652,2.0,4.37673939058928,122
152,978,ㅼ궗6848,강동구,127.1434579,37.53527902,-0.0,24,0.0,0.2698412698412698,0.0,1.5280498664292077,1.5424804902782063,1.0,4.340371626548683,125
153,823,ㅼ궗6257,중랑구,127.075086,37.61617418,-0.0,16,0.0,0.492063492063492,0.0,1.1008973217343654,0.7359022970768485,2.0,4.328863110874706,126
154,159,ㅼ궗4641,금천구,126.8949638,37.47117261,-0.0,16,0.0,0.4444444444444444,0.0,0.7845742859099938,1.0906485604691152,2.0,4.319667290823554,127
155,98,ㅼ궗4350,양천구,126.8603466,37.5521118,-0.0,10,0.0,0.2698412698412698,0.0,0.9406123707103226,0.1054627221022,3.0,4.315916362653793,128
156,262,ㅼ궗4942,관악구,126.9288209,37.48035471,-0.0,27,0.5,0.4285714285714285,0.25,1.121994657168299,0.0,2.0,4.300566085739728,129
157,851,ㅼ궗6351,광진구,127.0867159,37.56213467,-0.0,15,0.0,0.2222222222222222,0.75,1.09130762380985,1.2204929235924342,1.0,4.284022769624507,130
158,376,ㅼ궗5243,동작구,126.9626864,37.48952716,-0.0,8,0.0,0.1428571428571428,0.0,1.5161312418658812,0.6180062607468807,2.0,4.276994645469905,131
160,253,ㅼ궗4858,은평구,126.9163875,37.62450939,-0.0,17,0.5,0.3333333333333333,0.0,1.186793616001096,1.254442044001587,1.0,4.2745689933360165,132
161,781,ㅼ궗6160,노원구,127.0635972,37.64317246,-0.0,12,0.0,0.1904761904761904,0.25,1.435440783615316,1.3833164322560734,1.0,4.25923340634758,133
162,703,ㅼ궗6043,강남구,127.0531785,37.48990406,-0.0,9,0.0,0.0952380952380952,0.0,1.5923008425234604,1.5470658260217804,1.0,4.234604763783336,134
163,331,ㅼ궗5142,관악구,126.9514409,37.48046189,-0.0,37,0.5,0.7777777777777777,0.0,0.9466401808343036,0.0,2.0,4.224417958612081,135
164,343,ㅼ궗5148,영등포구,126.951045,37.53454134,-0.0,5,0.0,0.1746031746031746,0.0,1.2699499965751078,0.7717031876901371,2.0,4.216256358868419,136
166,501,ㅼ궗5554,종로구,126.9959538,37.58882245,-0.0,7,0.0,0.3015873015873015,0.75,0.5625042811151448,0.6003703540408272,2.0,4.214461936743273,137
167,858,ㅼ궗6357,중랑구,127.0864167,37.61621444,-0.0,3,0.0,0.1111111111111111,0.25,0.9597917665593534,0.8663639169348795,2.0,4.187266794605344,138
168,939,ㅼ궗6643,송파구,127.1210487,37.49014126,-0.0,22,0.0,0.3809523809523809,0.0,0.8745804507158024,0.931131784312861,2.0,4.186664615981044,139
169,588,ㅼ궗5755,성북구,127.0185487,37.59793022,-0.0,17,0.0,0.2539682539682539,0.0,1.4240701417905337,1.5083550108019927,1.0,4.18639340656078,140
170,73,ㅼ궗4243,구로구,126.8495738,37.48895856,-0.0,4,0.0,0.1587301587301587,0.0,1.0254126994999655,0.9884484811075348,2.0,4.172591339337659,141
172,168,ㅼ궗4645,구로구,126.894673,37.50722532,-0.0,12,0.0,0.2222222222222222,0.0,1.0822659086238784,0.832591155592787,2.0,4.137079286438888,143
174,845,ㅼ궗6346,송파구,127.0869646,37.51706781,-0.0,1,0.0,0.0158730158730158,0.0,1.0834988697856016,1.033596402275032,2.0,4.132968287933649,144
175,169,ㅼ궗4646,영등포구,126.8946002,37.51623847,-0.0,14,0.0,0.2063492063492063,0.25,0.8888280019179395,0.7769939597019532,2.0,4.122171167969099,145
177,67,ㅼ궗4151,강서구,126.8376255,37.56099995,-0.0,13,0.5,0.4603174603174603,0.0,0.5412699499965751,0.6170803756448129,2.0,4.1186677859588485,146
178,849,ㅼ궗6349,광진구,127.0868154,37.54410797,-0.0,7,0.0,0.3015873015873015,0.25,1.1622713884512637,1.3968519906529695,1.0,4.110710680691534,147
179,191,ㅼ궗4741,관악구,126.9062724,37.47122997,-0.0,8,0.0,0.0952380952380952,0.25,0.8781423385163367,0.8806490013667828,2.0,4.104029435121214,148
181,207,ㅼ궗4750,마포구,126.9056294,37.55234844,-0.0,11,0.0,0.5873015873015872,0.25,1.0522638536886089,1.1952294872360123,1.0,4.084794928226208,149
182,813,ㅼ궗6253,중랑구,127.075291,37.58012111,-0.0,6,0.0,0.1904761904761904,0.5,1.105829166381259,0.2649794982584542,2.0,4.061284855115904,150
184,131,ㅼ궗4543,금천구,126.8835073,37.48914051,-0.0,26,0.5,0.4126984126984127,0.0,1.1248715665456537,0.0196199462104845,2.0,4.057189925454551,151
186,345,ㅼ궗5149,용산구,126.9509789,37.54355453,-0.0,38,0.0,0.4761904761904761,0.25,1.2776217549147202,0.0429434328292403,2.0,4.046755663934436,152
187,713,ㅼ궗6049,성동구,127.052856,37.54398426,-0.0,17,0.0,0.3968253968253968,0.25,0.6759367079936982,0.7080375644812839,2.0,4.030799669300379,153
188,635,ㅼ궗5856,성북구,127.0298199,37.60698909,-0.0,24,0.0,0.4126984126984127,0.25,1.228303308445784,1.1343415193333628,1.0,4.025343240477559,154
190,385,ㅼ궗5249,용산구,126.9622985,37.54360662,-0.0,15,0.0,0.3333333333333333,0.0,0.925405849715734,0.7649133636083065,2.0,4.023652546657374,155
191,717,ㅼ궗6052,성동구,127.0526944,37.57102417,-0.0,15,0.0,0.3809523809523809,0.25,1.3436536749092405,0.017812265773114,2.0,3.992418321634736,156
193,309,ㅼ궗5049,영등포구,126.9396594,37.54350136,-0.0,12,0.0,0.3809523809523809,0.25,1.3592711829577369,0.0,2.0,3.990223563910118,157
194,540,ㅼ궗5653,종로구,127.0073397,37.57985707,-0.0,5,0.0,0.1587301587301587,0.5,0.6764846907322419,0.6424760813015299,2.0,3.9776909307639294,158
195,429,ㅼ궗5352,종로구,126.9734278,37.57069721,-0.0,14,0.5,0.4285714285714285,0.75,0.2764572915953147,0.0169304704378113,2.0,3.971959190604555,159
197,157,ㅼ궗4639,금천구,126.8951091,37.45314617,-0.0,6,0.5,0.2539682539682539,0.25,0.4722241249400644,0.4946871831048013,2.0,3.97087956201312,160
198,386,ㅼ궗5250,용산구,126.9622337,37.55261981,-0.0,19,0.0,0.2857142857142857,0.0,1.4037947804644153,0.2669194479961201,2.0,3.9564285141748208,161
200,87,ㅼ궗4343,구로구,126.8608849,37.48902029,-0.0,12,0.0,0.0793650793650793,0.25,0.8773203644085211,0.7444998015960496,2.0,3.95118524536965,162
201,287,ㅼ궗4957,은평구,126.9277883,37.61555186,-0.0,25,0.0,0.2063492063492063,0.25,1.2433728337557366,1.2478726687535824,1.0,3.947594708858525,163
203,672,ㅼ궗5953,동대문구,127.0413152,37.57999398,-0.0,81,0.0,0.238095238095238,0.25,0.7734776354544831,0.674793880340373,2.0,3.936366753890094,165
204,465,ㅼ궗5452,종로구,126.9847515,37.57074718,-0.0,33,0.0,0.7301587301587301,1.0,0.186588122474142,0.0045412459768087,2.0,3.921288098609681,166
206,972,ㅼ궗6843,송파구,127.1436722,37.49021166,-0.0,11,0.0,0.1904761904761904,0.0,0.8812932392629632,0.846126713989683,2.0,3.9178961437288367,167
207,799,ㅼ궗6245,송파구,127.0756998,37.5080143,-0.0,11,0.0,0.492063492063492,0.0,0.7047058017672443,0.7171200564349015,2.0,3.913889350265638,168
208,985,ㅼ궗6944,송파구,127.1549425,37.49925875,-0.0,13,0.0,0.0793650793650793,0.0,0.9566408658127268,0.8776508972267537,2.0,3.91365684240456,169
209,913,ㅼ궗6547,송파구,127.1095492,37.52615821,-0.0,11,0.5,0.0634920634920634,0.0,0.7116925816836769,0.6356862572196993,2.0,3.9108709023954393,170
210,160,ㅼ궗4642,금천구,126.8948912,37.48018581,-0.0,23,0.0,0.6190476190476191,0.25,0.5785327762175492,0.4559763678850139,2.0,3.903556763150182,171
213,204,ㅼ궗4748,영등포구,126.9057725,37.53432221,-0.0,10,0.0,0.1428571428571428,0.25,0.7315569559558873,0.7738194964948636,2.0,3.898233595307894,172
214,225,ㅼ궗4839,금천구,126.9177207,37.45325974,-0.0,3,0.0,0.0158730158730158,0.25,0.8607438865675731,0.7481592522375556,2.0,3.8747761546781447,173
216,446,ㅼ궗5442,관악구,126.9853711,37.48061456,-0.0,15,0.0,0.238095238095238,0.25,0.7326529214329748,0.6326881530796702,2.0,3.853436312607883,174
218,536,ㅼ궗5651,중구,127.0074584,37.56183062,-0.0,7,0.0,0.5396825396825397,0.25,0.501952188506062,0.5501521096953397,2.0,3.841786837883941,175
219,675,ㅼ궗5955,동대문구,127.0412046,37.59802046,-0.0,6,0.0,0.0793650793650793,0.0,0.9021165833276252,0.8564878091794894,2.0,3.837969471872194,176
220,528,ㅼ궗5648,용산구,127.0076363,37.53479085,-0.0,13,0.5,0.1428571428571428,0.25,0.4560586341530241,0.4756404038622636,2.0,3.824556180872431,177
222,463,ㅼ궗5451,중구,126.9848136,37.56173398,-0.0,35,0.5,0.5873015873015872,0.25,0.2534420165764778,0.227370927207795,2.0,3.81811453108586,178
225,246,ㅼ궗4853,은평구,126.9167394,37.57944418,-0.0,13,0.0,0.4603174603174603,0.25,2.0,0.0977470129183016,1.0,3.808064473235762,180
226,848,ㅼ궗6348,광진구,127.0868652,37.5350946,-0.0,20,0.5,0.3809523809523809,0.0,0.8615658606753887,1.0630483664741412,1.0,3.805566608101911,181
227,58,ㅼ궗4145,양천구,126.8381037,37.50692188,-0.0,1,0.0,0.0952380952380952,0.0,0.400301390506199,0.3096865217582999,3.0,3.8052260075025934,182
228,638,ㅼ궗5858,강북구,127.0297064,37.62501546,-0.0,16,0.5,0.2222222222222222,0.0,1.0289745873005,1.048763282042238,1.0,3.799960091564961,183
229,490,ㅼ궗5547,용산구,126.9963786,37.52572984,-0.0,6,0.0,0.1746031746031746,0.25,0.6379889033495445,0.7321105771350469,2.0,3.7947026550877663,184
230,297,ㅼ궗5042,관악구,126.9401309,37.48040884,-0.0,15,0.0,0.5238095238095237,0.0,1.259127337488869,0.0,2.0,3.782936861298393,185
231,538,ㅼ궗5652,종로구,127.007399,37.57084385,-0.0,44,0.5,0.4285714285714285,0.5,0.3349544489348585,0.0157841365019179,2.0,3.779310014008205,186
233,42,ㅼ궗4046,양천구,126.826709,37.51587096,-0.0,3,0.0,0.0476190476190476,0.0,0.3572847455305157,0.3536881089899034,3.0,3.7585919021394663,187
234,299,ㅼ궗5043,동작구,126.9400636,37.4894221,-0.0,7,0.0,0.1904761904761904,0.25,1.284471539146517,0.0236321149861117,2.0,3.7485798446088183,188
236,55,ㅼ궗4143,구로구,126.8382628,37.48889574,-0.0,15,0.0,0.1428571428571428,0.0,0.846496335365436,0.7519068824125921,2.0,3.741260360635171,189
237,633,ㅼ궗5855,성북구,127.0298766,37.59797588,-0.0,13,0.0,0.2857142857142857,0.25,1.1148708815672306,1.0873418279617302,1.0,3.7379269952432463,190
238,110,ㅼ궗4445,양천구,126.8720452,37.5071072,-0.0,2,0.0,0.1269841269841269,0.0,0.3852318651962463,0.2203606542921388,3.0,3.732576646472512,191
239,670,ㅼ궗5952,동대문구,127.0413705,37.57098072,-0.0,10,0.0,0.1587301587301587,0.25,0.927460784985273,0.3954411181164851,2.0,3.7316320618319168,192
241,491,ㅼ궗5548,용산구,126.996318,37.53474311,-0.0,7,0.0,0.2698412698412698,0.25,0.5790807589560929,0.6317622679776024,2.0,3.730684296774965,193
242,392,ㅼ궗5251,중구,126.962169,37.56163299,-0.0,8,0.0,0.3015873015873015,0.25,0.9571888485512706,0.2114545214055817,2.0,3.7202306715441535,194
244,894,ㅼ궗6457,중랑구,127.0977475,37.61625361,-0.0,11,0.5,0.0317460317460317,0.25,0.4774299609562298,0.4580926766897403,2.0,3.717268669392002,195
245,990,ㅼ궗6950,강동구,127.1546933,37.55333952,-0.0,21,0.5,0.1587301587301587,0.25,0.8923898897184739,0.915700365945064,1.0,3.716820414393697,196
246,285,ㅼ궗4955,은평구,126.9279264,37.59752575,-0.0,17,0.0,0.1269841269841269,0.25,1.2372080279471196,1.101141924959217,1.0,3.715334079890464,197
247,542,ㅼ궗5654,종로구,127.0072803,37.58887028,-0.0,17,0.0,0.3492063492063492,0.0,1.3174874991437768,0.0438693179313081,2.0,3.7105631662814345,198
248,431,ㅼ궗5353,종로구,126.9733644,37.57971038,-0.0,8,0.0,0.0952380952380952,1.0,0.307007329269128,0.2997222344693797,2.0,3.701967658976603,199
249,43,ㅼ궗4047,양천구,126.826628,37.52488398,-0.0,0,0.0,0.1111111111111111,0.0,0.3072813206383998,0.2812486221947886,3.0,3.699641053944299,200
250,690,ㅼ궗5963,도봉구,127.040761,37.67012583,-0.0,14,0.0,0.4126984126984127,0.0,1.1828207411466538,1.0989374366209603,1.0,3.694456590466027,201
251,232,ㅼ궗4843,관악구,126.917441,37.48931271,-0.0,12,0.0,0.3809523809523809,0.25,0.8204671552846085,0.2428905251091221,2.0,3.694310061346112,202
253,971,ㅼ궗6842,송파구,127.143715,37.48119815,-0.0,3,0.0,0.1269841269841269,0.0,0.8518391670662374,0.7117411048895551,2.0,3.69056439893992,203
254,852,ㅼ궗6352,중랑구,127.0866661,37.571148,-0.0,7,0.0,0.1904761904761904,0.0,1.0017124460579492,0.4869273841541378,2.0,3.679116020688277,204
